_type,address,areacode,building_name,city,data_id,lat,listing_date,lng,locality,platform,property_type,sqft,status,txn_type
PurpleyoItem,"Mathuradas Vassanji Road, Sakinaka, Mumbai",400072,Raiaskaran Tech Park - Tower 2,Mumbai,981,19.103285,2016-06-02T12:42:34Z,72.8847,Sakinaka,purpleyo,OFFICE,456000,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"G Block, Bandra Kurla Complex, Mumbai",400051,Parinee Crescenzo,Mumbai,1010,19.061195,2016-05-18T09:35:50Z,72.86793,Bandra Kurla Complex,purpleyo,OFFICE AND RETAIL,1000000,COMPLETED AND OPERATIONAL,LEASE/SALE
PurpleyoItem,"Ram Mandir Lane, Jai Coach Junction, Goregaon East, Mumbai",400063,Lotus Corporate Park,Mumbai,1058,19.145,2016-03-01T12:59:05Z,72.85331,Goregaon East,purpleyo,OFFICE,1430000,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Lal Bahadur Shastri Marg, Godrej & Boyce Industry Estate, Vikhroli West, Mumbai",400079,Godrej IT Park,Mumbai,1063,19.10222,2016-02-22T12:17:23Z,72.92244,Vikhroli West,purpleyo,OFFICE,1400000,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Wagke Estate, LBS Marg, Neheru Nagar, Wagle Industrial Estate",400604,Nitco Biz Park ,Mumbai,1067,19.196775,2016-01-11T08:56:08Z,72.9537,Thane West,purpleyo,OFFICE,245000,COMPLETED AND OPERATIONAL,NA
PurpleyoItem,"Jamnalal Bajaj Road, Nariman Point, Mumbai",400021,Atlanta ,Mumbai,1102,18.924742,2016-03-02T10:03:56Z,72.821625,Nariman Point,purpleyo,OFFICE,110844,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"# 226, Jamnalal Bajaj Marg, Barrister Rajni Patel Marg, Nariman Point, Mumbai",400021,Bajaj Bhavan,Mumbai,1103,18.925852,2016-03-02T09:44:25Z,72.8224,Nariman Point,purpleyo,OFFICE,104304,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Ramnath Goenka Marg, Nariman Point, Mumbai ",400021,Bakhtawar,Mumbai,1104,18.92622,2016-03-02T09:20:33Z,72.82099,Nariman Point,purpleyo,OFFICE,142996,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Freepress Journal Marg, Nariman Point, Mumbai ",400021,Dalamal Tower,Mumbai,1105,18.924437,2016-03-02T10:12:09Z,72.824356,Nariman Point,purpleyo,OFFICE,180000,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"NCPA Marg, Nariman Point, Mumbai",400021,Earnest House,Mumbai,1106,18.9248,2016-03-02T10:01:05Z,72.820885,Nariman Point,purpleyo,OFFICE,170000,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"NCPA Marg, Nariman Point, Mumbai",400021,Hoechst House ,Mumbai,1107,18.92539,2016-03-02T09:58:28Z,72.819046,Nariman Point,purpleyo,OFFICE,119072,COMPLETED AND OPERATIONAL,NA
PurpleyoItem,"Vinay K Shah Marg, Nariman Point, Mumbai",400021,Jolly Maker Chamber ll,Mumbai,1108,18.92558,2016-06-20T06:26:11Z,72.822296,Nariman Point,purpleyo,OFFICE,150000,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Vinay K Shah Marg, Nariman Point, Mumbai",400021,Maker Chamber lll,Mumbai,1109,18.925474,2016-06-03T06:59:06Z,72.82218,Nariman Point,purpleyo,OFFICE,180000,COMPLETED AND OPERATIONAL,LEASE/SALE
PurpleyoItem,"NCPA Marg, Nariman Point, Mumbai",400021,Arcadia ,Mumbai,1110,18.924488,2016-05-10T09:25:19Z,72.82063,Nariman Point,purpleyo,OFFICE,98176,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Jamnalal Bajaj Road, Nariman Point, Mumbai",400021,Maker Chamber IV,Mumbai,1111,18.924688,2016-05-09T05:23:27Z,72.82276,Nariman Point,purpleyo,OFFICE,197500,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Jamnalal Bajaj Road, Nariman Point, Mumbai",400021,Maker Chamber V,Mumbai,1112,18.924326,2016-06-20T12:25:41Z,72.82265,Nariman Point,purpleyo,OFFICE,200800,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Barrister Rajni Patel Marg, Nariman Point, Mumbai",400021,Mittal Chambers,Mumbai,1113,18.926481,2016-03-02T09:50:59Z,72.82189,Nariman Point,purpleyo,OFFICE,182000,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Jamnalal Bajaj Road, Nariman Point, Mumbai",400021,Maker Chamber VI,Mumbai,1114,18.923983,2016-05-10T09:25:48Z,72.82224,Nariman Point,purpleyo,OFFICE,190500,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"BRP Road, Churchgate, Nariman Point, Mumbai",400021,Mittal Court,Mumbai,1117,18.925243,2016-03-02T09:47:37Z,72.823456,Nariman Point,purpleyo,OFFICE,238000,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Free Press Journal Marg, Nariman Point, Mumbai",400021,Mittal Tower,Mumbai,1124,18.924984,2016-05-10T09:30:25Z,72.82482,Nariman Point,purpleyo,OFFICE,255000,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Nariman Bhavan, Vinay K Shah Marg, Nariman Point, Mumbai",400021,Nariman Bhavan,Mumbai,1127,18.925991,2016-03-02T09:56:26Z,72.82163,Nariman Point,purpleyo,OFFICE,181760,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Free Press Journal Marg, Nariman Point, Mumbai",400021,Raheja Centre,Mumbai,1128,18.9236,2016-06-09T11:05:10Z,72.823326,Nariman Point,purpleyo,OFFICE,194820,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Free Press Journal Marg, Nariman Point, Mumbai",400021,Raheja Chambers,Mumbai,1129,18.923908,2016-06-09T11:06:27Z,72.82386,Nariman Point,purpleyo,OFFICE,223950,COMPLETED AND OPERATIONAL,LEASED OUT
PurpleyoItem,"Nariman Point, Mumbai",400021,Sakhar Bhavan,Mumbai,1130,18.92724,2016-05-10T09:26:20Z,72.822205,Nariman Point,purpleyo,OFFICE AND RETAIL,203500,COMPLETED AND OPERATIONAL,LEASED OUT
